vertrag,journal,issn,issn_l
De Gruyter (SUB Göttingen),The African Book Publishing Record,0306-0322,0306-0322
De Gruyter (SUB Göttingen),The African Book Publishing Record,1865-8717,0306-0322
De Gruyter (SUB Göttingen),Antike und Abendland,0003-5696,0003-5696
De Gruyter (SUB Göttingen),Antike und Abendland,1613-0421,0003-5696
De Gruyter (SUB Göttingen),Angermion ,1438-2091,1438-2091
De Gruyter (SUB Göttingen),Angermion ,1868-9426,1438-2091
De Gruyter (SUB Göttingen),Altorientalische Forschungen,0232-8461,0232-8461
De Gruyter (SUB Göttingen),Altorientalische Forschungen,2196-6761,0232-8461
De Gruyter (SUB Göttingen),Apeiron,0003-6390,0003-6390
De Gruyter (SUB Göttingen),Apeiron,2156-7093,0003-6390
De Gruyter (SUB Göttingen),Archiv fÃ¼r Papyrusforschung und verwandte Gebiete,0066-6459,0066-6459
De Gruyter (SUB Göttingen),Archiv fÃ¼r Papyrusforschung und verwandte Gebiete,1867-1551,0066-6459
De Gruyter (SUB Göttingen),Applied Linguistics Review,1868-6303,1868-6303
De Gruyter (SUB Göttingen),Applied Linguistics Review,1868-6311,1868-6303
De Gruyter (SUB Göttingen),arcadia,0003-7982,0003-7982
De Gruyter (SUB Göttingen),arcadia,1613-0642,0003-7982
De Gruyter (SUB Göttingen),Archiv fÃ¼r Religionsgeschichte,1436-3038,1436-3038
De Gruyter (SUB Göttingen),Archiv fÃ¼r Religionsgeschichte,1868-8888,1436-3038
De Gruyter (SUB Göttingen),Aschkenas,1016-4987,1016-4987
De Gruyter (SUB Göttingen),Aschkenas,1865-9438,1016-4987
De Gruyter (SUB Göttingen),Chinese as a Second Language Research,2193-2263,2193-2263
De Gruyter (SUB Göttingen),Chinese as a Second Language Research,2193-2271,2193-2263
De Gruyter (SUB Göttingen),Language Learning in Higher Education,2191-611X,2191-611X
De Gruyter (SUB Göttingen),Language Learning in Higher Education,2191-6128,2191-611X
De Gruyter (SUB Göttingen),Chinese Archaeology,2160-5025,2160-5025
De Gruyter (SUB Göttingen),Chinese Archaeology,2160-5068,2160-5025
De Gruyter (SUB Göttingen),Chinese Journal of Applied Linguistics,2192-9505,2192-9505
De Gruyter (SUB Göttingen),Chinese Journal of Applied Linguistics,2192-9513,2192-9505
De Gruyter (SUB Göttingen),Corpus Linguistics and Linguistic Theory,1613-7027,1613-7027
De Gruyter (SUB Göttingen),Corpus Linguistics and Linguistic Theory,1613-7035,1613-7027
De Gruyter (SUB Göttingen),Cognitive Linguistics,0936-5907,0936-5907
De Gruyter (SUB Göttingen),Cognitive Linguistics,1613-3641,0936-5907
De Gruyter (SUB Göttingen),Cognitive Semiotics,2235-2066,1662-1425
De Gruyter (SUB Göttingen),Chinese Semiotic Studies,2198-9605,2198-9605
De Gruyter (SUB Göttingen),Chinese Semiotic Studies,2198-9613,2198-9605
De Gruyter (SUB Göttingen),Dialectologia et Geolinguistica,0942-4040,0942-4040
De Gruyter (SUB Göttingen),Dialectologia et Geolinguistica,1867-0903,0942-4040
De Gruyter (SUB Göttingen),European Company and Financial Law Review,1613-2548,1613-2548
De Gruyter (SUB Göttingen),European Company and Financial Law Review,1613-2556,1613-2548
De Gruyter (SUB Göttingen),European Journal of Scandinavian Studies,2191-9399,2191-9399
De Gruyter (SUB Göttingen),European Journal of Scandinavian Studies,2191-9402,2191-9399
De Gruyter (SUB Göttingen),Elenchos,0392-7342,0392-7342
De Gruyter (SUB Göttingen),Elenchos,2037-7177,0392-7342
De Gruyter (SUB Göttingen),European Property Law Journal ,2190-8273,2190-8273
De Gruyter (SUB Göttingen),European Property Law Journal ,2190-8362,2190-8273
De Gruyter (SUB Göttingen),European Review of Contract Law,1614-9920,1614-9920
De Gruyter (SUB Göttingen),European Review of Contract Law,1614-9939,1614-9920
De Gruyter (SUB Göttingen),Etruscan and Italic Studies,2566-9095,2566-9095
De Gruyter (SUB Göttingen),Etruscan and Italic Studies,2566-9109,2566-9095
De Gruyter (SUB Göttingen),European Journal of Applied Linguistics,2192-9521,2192-9521
De Gruyter (SUB Göttingen),European Journal of Applied Linguistics,2192-953X,2192-9521
De Gruyter (SUB Göttingen),Fabula,0014-6242,0014-6242
De Gruyter (SUB Göttingen),Fabula,1613-0464,0014-6242
De Gruyter (SUB Göttingen),Frontiers of Narrative Studies,2509-4882,2509-4890
De Gruyter (SUB Göttingen),Frontiers of Narrative Studies,2509-4890,2509-4890
De Gruyter (SUB Göttingen),Folia Linguistica,0165-4004,0165-4004
De Gruyter (SUB Göttingen),Folia Linguistica,1614-7308,0165-4004
De Gruyter (SUB Göttingen),The Forum,1540-8884,1540-8884
De Gruyter (SUB Göttingen),Yearbook of the German Cognitive Linguistics Association,2197-2788,2197-2796
De Gruyter (SUB Göttingen),Yearbook of the German Cognitive Linguistics Association,2197-2796,2197-2796
De Gruyter (SUB Göttingen),Global Chinese,2199-4374,2199-4374
De Gruyter (SUB Göttingen),Global Chinese,2199-4382,2199-4374
De Gruyter (SUB Göttingen),Glottotheory ,2196-6907,1337-7892
De Gruyter (SUB Göttingen),HUMOR,0933-1719,0933-1719
De Gruyter (SUB Göttingen),HUMOR,1613-3722,0933-1719
De Gruyter (SUB Göttingen),Iberoromania,0019-0993,0019-0993
De Gruyter (SUB Göttingen),Iberoromania,1865-9039,0019-0993
De Gruyter (SUB Göttingen),ICL Journal,2306-3734,1995-5855
De Gruyter (SUB Göttingen),ICL Journal,1995-5855,1995-5855
De Gruyter (SUB Göttingen),Indogermanische Forschungen,0019-7262,0019-7262
De Gruyter (SUB Göttingen),Indogermanische Forschungen,1613-0405,0019-7262
De Gruyter (SUB Göttingen),International Journal of Practical Theology ,1430-6921,1430-6921
De Gruyter (SUB Göttingen),International Journal of Practical Theology ,1612-9768,1430-6921
De Gruyter (SUB Göttingen),International Journal of the Sociology of Language,0165-2516,0165-2516
De Gruyter (SUB Göttingen),International Journal of the Sociology of Language,1613-3668,0165-2516
De Gruyter (SUB Göttingen),Intercultural Pragmatics,1612-295X,1612-295X
De Gruyter (SUB Göttingen),Intercultural Pragmatics,1613-365X,1612-295X
De Gruyter (SUB Göttingen),International Public History,2567-1111,2567-1111
De Gruyter (SUB Göttingen),International Review of Applied Linguistics in Language Teaching,0019-042X,0019-042X
De Gruyter (SUB Göttingen),International Review of Applied Linguistics in Language Teaching,1613-4141,0019-042X
De Gruyter (SUB Göttingen),Journal of Ancient History,2324-8106,2324-8106
De Gruyter (SUB Göttingen),Journal of Ancient History,2324-8114,2324-8106
De Gruyter (SUB Göttingen),Jahrbuch der Juristischen Zeitgeschichte,1869-6899,1869-6899
De Gruyter (SUB Göttingen),Jahrbuch der Juristischen Zeitgeschichte,1869-6902,1869-6899
De Gruyter (SUB Göttingen),Journal of African Languages and Linguistics,0167-6164,0167-6164
De Gruyter (SUB Göttingen),Journal of African Languages and Linguistics,1613-3811,0167-6164
De Gruyter (SUB Göttingen),Journal of Ancient Near Eastern History,2328-9554,2328-9554
De Gruyter (SUB Göttingen),Journal of Ancient Near Eastern History,2328-9562,2328-9554
De Gruyter (SUB Göttingen),Internationales Jahrbuch fÃ¼r Medienphilosophie,2194-7554,2196-6834
De Gruyter (SUB Göttingen),Internationales Jahrbuch fÃ¼r Medienphilosophie,2196-6834,2196-6834
De Gruyter (SUB Göttingen),Internationales Jahrbuch fÃ¼r philosophische Anthropologie,2192-4279,2192-4279
De Gruyter (SUB Göttingen),Internationales Jahrbuch fÃ¼r philosophische Anthropologie,2192-4287,2192-4279
De Gruyter (SUB Göttingen),Journal of the Bible and its Reception,2329-440X,2329-440X
De Gruyter (SUB Göttingen),Journal of the Bible and its Reception,2329-4434,2329-440X
De Gruyter (SUB Göttingen),Journal of Contemporary Drama in English,2195-0156,2195-0156
De Gruyter (SUB Göttingen),Journal of Contemporary Drama in English,2195-0164,2195-0156
De Gruyter (SUB Göttingen),Journal of English as a Lingua Franca,2191-9216,2191-9216
De Gruyter (SUB Göttingen),Journal of English as a Lingua Franca,2191-933X,2191-9216
De Gruyter (SUB Göttingen),Journal of Early Modern Christianity,2196-6648,2196-6656
De Gruyter (SUB Göttingen),Journal of Early Modern Christianity,2196-6656,2196-6656
De Gruyter (SUB Göttingen),Journal of European Tort Law,1868-9612,1868-9612
De Gruyter (SUB Göttingen),Journal of European Tort Law,1868-9620,1868-9612
De Gruyter (SUB Göttingen),Journal of Historical Sociolinguistics,2199-2908,2199-2908
De Gruyter (SUB Göttingen),Journal of the International Arthurian Society,2196-9353,2196-9361
De Gruyter (SUB Göttingen),Journal of the International Arthurian Society,2196-9361,2196-9361
De Gruyter (SUB Göttingen),Journal of Japanese Linguistics,0197-3150,0197-3150
De Gruyter (SUB Göttingen),Journal of Japanese Linguistics,2512-1413,0197-3150
De Gruyter (SUB Göttingen),Journal der Juristischen Zeitgeschichte,1863-9984,1863-9984
De Gruyter (SUB Göttingen),Journal der Juristischen Zeitgeschichte,1868-8810,1863-9984
De Gruyter (SUB Göttingen),Journal of Literary Semantics,0341-7638,0341-7638
De Gruyter (SUB Göttingen),Journal of Literary Semantics,1613-3838,0341-7638
De Gruyter (SUB Göttingen),Journal of Latin Linguistics,2194-8739,2194-8739
De Gruyter (SUB Göttingen),Journal of Latin Linguistics,2194-8747,2194-8739
De Gruyter (SUB Göttingen),Journal of South Asian Languages and Linguistics,2196-0771,2196-078X
De Gruyter (SUB Göttingen),Journal of South Asian Languages and Linguistics,2196-078X,2196-078X
De Gruyter (SUB Göttingen),Jahrbuch fÃ¼r Wissenschaft und Ethik,1430-9017,1430-9017
De Gruyter (SUB Göttingen),Jahrbuch fÃ¼r Wissenschaft und Ethik,1613-1142,1430-9017
De Gruyter (SUB Göttingen),Kadmos,0022-7498,0022-7498
De Gruyter (SUB Göttingen),Kadmos,1613-0723,0022-7498
De Gruyter (SUB Göttingen),Kant Yearbook,1868-4599,1868-4599
De Gruyter (SUB Göttingen),Kant Yearbook,1868-4602,1868-4599
De Gruyter (SUB Göttingen),Kierkegaard Studies Yearbook,1430-5372,1430-5372
De Gruyter (SUB Göttingen),Kierkegaard Studies Yearbook,1612-9792,1430-5372
De Gruyter (SUB Göttingen),Kritikon Litterarum,0340-9767,0340-9767
De Gruyter (SUB Göttingen),Kritikon Litterarum,1865-7249,0340-9767
De Gruyter (SUB Göttingen),Lebende Sprachen,0023-9909,0023-9909
De Gruyter (SUB Göttingen),Lebende Sprachen,1868-0267,0023-9909
De Gruyter (SUB Göttingen),Lexicographica,0175-6206,0175-6206
De Gruyter (SUB Göttingen),Lexicographica,1865-9403,0175-6206
De Gruyter (SUB Göttingen),Libri,0024-2667,0024-2667
De Gruyter (SUB Göttingen),Libri,1865-8423,0024-2667
De Gruyter (SUB Göttingen),Linguistic Typology ,1430-0532,1430-0532
De Gruyter (SUB Göttingen),Linguistic Typology ,1613-415X,1430-0532
De Gruyter (SUB Göttingen),Linguistics Vanguard,2199-174X,2199-174X
De Gruyter (SUB Göttingen),Lodz Papers in Pragmatics ,1895-6106,1895-6106
De Gruyter (SUB Göttingen),Lodz Papers in Pragmatics ,1898-4436,1895-6106
De Gruyter (SUB Göttingen),Multimodal Communication,2230-6587,2230-6579
De Gruyter (SUB Göttingen),Millennium,1867-030X,1867-030X
De Gruyter (SUB Göttingen),Millennium,1867-0318,1867-030X
De Gruyter (SUB Göttingen),Moral Philosophy and Politics,2194-5616,2194-5624
De Gruyter (SUB Göttingen),Moral Philosophy and Politics,2194-5624,2194-5624
De Gruyter (SUB Göttingen),Metaphysica,1437-2053,1437-2053
De Gruyter (SUB Göttingen),Metaphysica,1874-6373,1437-2053
De Gruyter (SUB Göttingen),Multilingua,0167-8507,0167-8507
De Gruyter (SUB Göttingen),Multilingua,1613-3684,0167-8507
De Gruyter (SUB Göttingen),Naharaim,1862-9148,1862-9148
De Gruyter (SUB Göttingen),Naharaim,1862-9156,1862-9148
De Gruyter (SUB Göttingen),"Preservation, Digital Technology & Culture (PDT&C)",2195-2957,2195-2957
De Gruyter (SUB Göttingen),"Preservation, Digital Technology & Culture (PDT&C)",2195-2965,2195-2957
De Gruyter (SUB Göttingen),Yearbook of Phraseology,1868-632X,1868-632X
De Gruyter (SUB Göttingen),Yearbook of Phraseology,1868-6338,1868-632X
De Gruyter (SUB Göttingen),PÃ³lemos,2035-5262,2035-5262
De Gruyter (SUB Göttingen),PÃ³lemos,2036-4601,2035-5262
De Gruyter (SUB Göttingen),Journal of Politeness Research,1612-5681,1612-5681
De Gruyter (SUB Göttingen),Journal of Politeness Research,1613-4877,1612-5681
De Gruyter (SUB Göttingen),Probus,0921-4771,0921-4771
De Gruyter (SUB Göttingen),Probus,1613-4079,0921-4771
De Gruyter (SUB Göttingen),Poznan Studies in Contemporary Linguistics,0137-2459,0137-2459
De Gruyter (SUB Göttingen),Poznan Studies in Contemporary Linguistics,1897-7499,1732-0747
De Gruyter (SUB Göttingen),Restaurator. International Journal for the Preservation of Library and Archival Material,0034-5806,0034-5806
De Gruyter (SUB Göttingen),Restaurator. International Journal for the Preservation of Library and Archival Material,1865-8431,0034-5806
De Gruyter (SUB Göttingen),Rhetorik,0720-5775,0720-5775
De Gruyter (SUB Göttingen),Rhetorik,1865-9160,0720-5775
De Gruyter (SUB Göttingen),Rhizomata,2196-5102,2196-5110
De Gruyter (SUB Göttingen),Rhizomata,2196-5110,2196-5110
De Gruyter (SUB Göttingen),Romanistisches Jahrbuch,0080-3898,0080-3898
De Gruyter (SUB Göttingen),Romanistisches Jahrbuch,1613-0413,0080-3898
De Gruyter (SUB Göttingen),SATS,1600-1974,1600-1974
De Gruyter (SUB Göttingen),SATS,1869-7577,1600-1974
De Gruyter (SUB Göttingen),Semiotica,0037-1998,0037-1998
De Gruyter (SUB Göttingen),Semiotica,1613-3692,0037-1998
De Gruyter (SUB Göttingen),Studies in Hispanic and Lusophone Linguistics,1939-0238,1939-0238
De Gruyter (SUB Göttingen),Studies in Hispanic and Lusophone Linguistics,2199-3386,1939-0238
De Gruyter (SUB Göttingen),Sociolinguistica,0933-1883,0933-1883
De Gruyter (SUB Göttingen),Sociolinguistica,1865-939X,0933-1883
De Gruyter (SUB Göttingen),STUF - Language Typology and Universals,1867-8319,1867-8319
De Gruyter (SUB Göttingen),STUF - Language Typology and Universals,2196-7148,1867-8319
De Gruyter (SUB Göttingen),Trends in Classics,1866-7473,1866-7473
De Gruyter (SUB Göttingen),Trends in Classics,1866-7481,1866-7473
De Gruyter (SUB Göttingen),Text & Talk,1860-7330,1860-7330
De Gruyter (SUB Göttingen),Text & Talk,1860-7349,1860-7330
De Gruyter (SUB Göttingen),Theoretical Linguistics,0301-4428,0301-4428
De Gruyter (SUB Göttingen),Theoretical Linguistics,1613-4060,0301-4428
De Gruyter (SUB Göttingen),The Linguistic Review,0167-6318,0167-6318
De Gruyter (SUB Göttingen),The Linguistic Review,1613-3676,0167-6318
De Gruyter (SUB Göttingen),European Tort Law Yearbook ,2190-7773,2190-7773
De Gruyter (SUB Göttingen),European Tort Law Yearbook ,2190-7781,2190-7773
De Gruyter (SUB Göttingen),Wittgenstein-Studien,1868-7431,1868-7431
De Gruyter (SUB Göttingen),Wittgenstein-Studien,1868-7458,1868-7431
De Gruyter (SUB Göttingen),Yearbook for European Jewish Literature Studies,2196-6249,2196-6249
De Gruyter (SUB Göttingen),Yearbook for European Jewish Literature Studies,2196-6257,2196-6249
De Gruyter (SUB Göttingen),Yearbook for Eastern and Western Philosophy,2196-5889,2196-5889
De Gruyter (SUB Göttingen),Yearbook for Eastern and Western Philosophy,2196-5897,2196-5889
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r Assyriologie und Vorderasiatische ArchÃ¤ologie     ,0084-5299,0084-5299
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r Assyriologie und Vorderasiatische ArchÃ¤ologie     ,1613-1150,0084-5299
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r Ãgyptische Sprache und Altertumskunde,0044-216X,0044-216X
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r Ãgyptische Sprache und Altertumskunde,2196-713X,0044-216X
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r die alttestamentliche Wissenschaft,0044-2526,0044-2526
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r die alttestamentliche Wissenschaft,1613-0103,0044-2526
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r celtische Philologie,0084-5302,0084-5302
De Gruyter (SUB Göttingen),Zeitschrift fÃ¼r celtische Philologie,1865-889X,0084-5302
Thieme 1 (ZB MED),Hormone and metabolic research,0018-5043,0018-5043
Thieme 1 (ZB MED),Hormone and metabolic research,1439-4286,0018-5043
AIP (TIB),AIP Conference Proceedings,0094-243X,0094-243X
AIP (TIB),AIP Conference Proceedings,1551-7616,0094-243X
